ID_Inscricao,Municipio,UF,Score_Escolaridade_Mae,Tem_Internet,Score_Internet,Nota_Enem,ISE,pib_per_capta,Score_Renda,Nota_Esperada,IVA,latitude,longitude
3563451924,Belo Horizonte,MG,5,Sim,1,711,3.67,56227.29,4,624.53,86.47380599,-19.90269606,-43.9599942
9678344341,Fortaleza,CE,3,Sim,1,591,2.67,35796.74,2,582.76,8.235308822,-3.785866303,-38.52800282
5298312065,Manaus,AM,4,Sim,1,692,7.67,61855.15,16,789.99,-97.98597784,-2.625918589,-60.25963252
2250819632,Belo Horizonte,MG,3,Sim,1,572,2.67,56227.29,2,583.19,-11.19057697,-19.90269606,-43.9599942
5684118973,Fortaleza,CE,3,Sim,1,559,3,35796.74,3,596.54,-37.54323019,-3.785866303,-38.52800282
2934879560,Belo Horizonte,MG,2,Sim,1,657,2,56227.29,2,555.63,101.366501,-19.90269606,-43.9599942
6950318585,Rio de Janeiro,RJ,4,Sim,1,681,7.67,67371.97,16,790.1,-109.100979,-22.92316461,-43.45109396
2111451555,Belo Horizonte,MG,0,Sim,1,436,0.67,56227.29,1,500.52,-64.51934291,-19.90269606,-43.9599942
6188069941,Rio de Janeiro,RJ,3,Sim,1,503,3,67371.97,3,597.2,-94.20143284,-22.92316461,-43.45109396
9274936803,Rio de Janeiro,RJ,3,Sim,1,625,3,67371.97,3,597.2,27.79856716,-22.92316461,-43.45109396
7612927342,Belo Horizonte,MG,0,Não,0,423,0.33,56227.29,1,486.74,-63.7408039,-19.90269606,-43.9599942
4445409806,Belo Horizonte,MG,2,Sim,1,694,2,56227.29,2,555.63,138.366501,-19.90269606,-43.9599942
4055190407,Manaus,AM,0,Sim,1,531,0.33,61855.15,0,486.86,44.14188038,-2.625918589,-60.25963252
3677045063,Manaus,AM,3,Sim,1,790,7.33,61855.15,16,776.21,13.79256117,-2.625918589,-60.25963252
2644658402,Belo Horizonte,MG,0,Não,0,488,0.33,56227.29,1,486.74,1.259196097,-19.90269606,-43.9599942
7415803238,São Paulo,SP,2,Sim,1,558,2,93156.23,2,556.4,1.596697482,-23.65005094,-46.64809546
7181903227,Fortaleza,CE,3,Sim,1,496,2.67,35796.74,2,582.76,-86.76469118,-3.785866303,-38.52800282
