ID_Inscricao,municipio,Q006_Renda,Score_Renda,Q002_Escolaridade_Mae,Score_Escolaridade,Q025_Tem_Internet,Score_Internet,NU_NOTA_GERAL,ISE,TP_ESCOLA,latitude,longitude
3563451924,Belo Horizonte,E,4,G,5,Sim,1,711,10,Pública,-19.9167,-43.9345
9678344341,Fortaleza,C,2,F,3,Sim,1,591,6,Privada,-3.7319,-38.5267
5298312065,Manaus,Q,5,G,4,Sim,1,692,10,Pública,-3.119,-60.0217
2250819632,Belo Horizonte,C,2,F,3,Sim,1,572,6,Pública,-19.9167,-43.9345
5684118973,Fortaleza,D,3,F,3,Sim,1,559,7,Pública,-3.7319,-38.5267
2934879560,Belo Horizonte,C,2,D,2,Sim,1,657,5,Pública,-19.9167,-43.9345
6950318585,Rio de Janeiro,Q,5,G,4,Sim,1,681,10,Pública,-22.9068,-43.1729
2111451555,Belo Horizonte,B,1,A,0,Sim,1,436,2,Privada,-19.9167,-43.9345
6188069941,Rio de Janeiro,D,3,F,3,Sim,1,503,7,Pública,-22.9068,-43.1729
9274936803,Rio de Janeiro,D,3,F,3,Sim,1,625,7,Pública,-22.9068,-43.1729
7612927342,Belo Horizonte,B,1,A,0,Não,0,423,1,Pública,-19.9167,-43.9345
4445409806,Belo Horizonte,C,2,D,2,Sim,1,694,5,Privada,-19.9167,-43.9345
4055190407,Manaus,A,0,A,0,Sim,1,531,1,Privada,-3.119,-60.0217
3677045063,Manaus,Q,5,F,3,Sim,1,790,9,Pública,-3.119,-60.0217
2644658402,Belo Horizonte,B,1,A,0,Não,0,488,1,Pública,-19.9167,-43.9345
7415803238,São Paulo,C,2,D,2,Sim,1,558,5,Pública,-23.5505,-46.6333
7181903227,Fortaleza,C,2,F,3,Sim,1,496,6,Pública,-3.7319,-38.5267
3318599822,Belo Horizonte,E,4,F,3,Sim,1,813,8,Pública,-19.9167,-43.9345
8765817900,Fortaleza,A,0,B,1,Sim,1,411,2,Pública,-3.7319,-38.5267
9088627133,Belo Horizonte,Q,5,G,4,Sim,1,704,10,Pública,-19.9167,-43.9345
5767636704,Fortaleza,A,0,B,1,Não,0,527,1,Pública,-3.7319,-38.5267
3082328893,São Paulo,E,4,F,3,Sim,1,625,8,Pública,-23.5505,-46.6333
9468739568,Manaus,D,3,F,3,Sim,1,542,7,Pública,-3.119,-60.0217
7453957249,Rio de Janeiro,C,2,D,2,Sim,1,544,5,Pública,-22.9068,-43.1729
7575313972,Belo Horizonte,A,0,B,1,Sim,1,487,2,Pública,-19.9167,-43.9345
6874583831,Belo Horizonte,B,1,A,0,Não,0,459,1,Pública,-19.9167,-43.9345
1647326920,Manaus,D,3,F,3,Sim,1,530,7,Pública,-3.119,-60.0217
